indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
logroom.top,domain,critical,,"2026-09-21 21:48:53","2026-09-21 21:48:53",,https://pulsedive.com/indicator/?iid=10015352,Owerri,Nigeria,NG,,
cpf-th.com,domain,low,,"2026-09-21 21:38:58","2026-09-21 21:38:58",,https://pulsedive.com/indicator/?iid=10152752,"San Mateo","United States of America",US,,
uyhgqunqkxnx.pw,domain,critical,,"2026-09-21 22:01:48","2026-09-21 22:01:48",,https://pulsedive.com/indicator/?iid=10900958,,,,,
winqits.com,domain,none,,"2026-09-21 21:52:50","2026-09-21 21:52:50",,https://pulsedive.com/indicator/?iid=11355657,"Panama City",Panama,PA,,
brascase-br.com,domain,unknown,,"2026-09-21 21:52:56","2026-09-21 21:52:56",,https://pulsedive.com/indicator/?iid=14720702,Central-Mid-Levels,"Hong Kong",HK,,
pmw-ch.com,domain,low,,"2026-09-21 21:48:31","2026-09-21 21:48:31",,https://pulsedive.com/indicator/?iid=18791259,Benin,Nigeria,NG,,
hgmatal.com,domain,critical,,"2026-09-21 21:48:50","2026-09-21 21:48:50",,https://pulsedive.com/indicator/?iid=20017781,,,,,
