indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
iipsuoqfbrwx.ru,domain,medium,,"2024-09-03 02:56:51","2024-09-03 02:15:00",,https://pulsedive.com/indicator/?iid=19035788,,,,,
ehiiebclpvfu.ru,domain,medium,,"2024-09-03 02:56:50","2024-09-03 02:15:00",,https://pulsedive.com/indicator/?iid=19035829,,,,,
emrswwjrbehx.ru,domain,high,,"2024-09-03 02:56:50","2024-09-03 02:15:00",,https://pulsedive.com/indicator/?iid=19059530,,,,,
