indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
mail.tut0r1allsvu.info,domain,unknown,,"2023-01-14 02:10:02","2023-01-14 02:10:02",,https://pulsedive.com/indicator/?iid=38593554,Redmond,"United States of America",US,,
tut0r1allsvu.info,domain,unknown,,"2023-01-14 02:10:03","2023-01-14 02:10:03",,https://pulsedive.com/indicator/?iid=38593556,Redmond,"United States of America",US,,
www.y4d5g1v.name,domain,none,,"2023-01-14 02:09:48","2023-01-14 02:09:48",,https://pulsedive.com/indicator/?iid=43660240,,,,,
mail.y4d5g1v.name,domain,unknown,,"2023-01-14 02:09:46","2023-01-14 02:09:46",,https://pulsedive.com/indicator/?iid=43660241,,,,,
y4d5g1v.name,domain,unknown,,"2023-01-14 02:09:48","2023-01-14 02:09:48",,https://pulsedive.com/indicator/?iid=43660243,,,,,
www.ylen5d87.name,domain,none,,"2023-01-14 02:10:00","2023-01-14 02:10:00",,https://pulsedive.com/indicator/?iid=43660244,,,,,
mail.ylen5d87.name,domain,unknown,,"2023-01-14 02:09:57","2023-01-14 02:09:57",,https://pulsedive.com/indicator/?iid=43660245,,,,,
r.tut0r1allsvu.info,domain,none,,"2023-01-14 02:10:05","2023-01-14 02:10:05",,https://pulsedive.com/indicator/?iid=43660246,Redmond,"United States of America",US,,
ylen5d87.name,domain,unknown,,"2023-01-14 02:09:58","2023-01-14 02:09:58",,https://pulsedive.com/indicator/?iid=43660247,,,,,
