indicator,type,risk,stamp_added,stamp_updated,stamp_seen,stamp_retired,reference,geo_city,geo_country,geo_countrycode,geo_org,dns_ptr
khddwukkbwhfdiufhaj.com,domain,medium,,"2022-11-08 19:13:56","2022-11-08 19:13:56",,https://pulsedive.com/indicator/?iid=1153493,"San Mateo","United States of America",US,,
ectdsitvvoydawmfni.com,domain,medium,,"2022-11-08 19:12:05","2022-11-08 19:12:05",,https://pulsedive.com/indicator/?iid=2117482,"REDACTED FOR PRIVACY","REDACTED FOR PRIVACY",,,
